DATE,DBLCIX
1999-12-31,151.92
2000-01-03,151.71
2000-01-04,150.94
2000-01-05,149.78
2000-01-06,149.39
2000-01-07,149.06
2000-01-10,150.60
2000-01-11,153.40
2000-01-12,155.80
2000-01-13,156.92
2000-01-14,161.14
2000-01-18,163.68
2000-01-19,163.98
2000-01-20,164.02
2000-01-21,163.34
2000-01-24,163.74
2000-01-25,164.54
2000-01-26,162.57
2000-01-27,161.63
2000-01-28,160.91
2000-01-31,162.09
2000-02-01,164.62
2000-02-02,162.58
2000-02-03,163.67
2000-02-04,167.04
2000-02-07,165.74
2000-02-08,163.97
2000-02-09,166.70
2000-02-10,169.27
2000-02-11,168.84
2000-02-14,171.09
2000-02-15,170.45
2000-02-16,171.38
2000-02-17,168.87
2000-02-18,168.45
2000-02-22,169.22
2000-02-23,169.03
2000-02-24,169.91
2000-02-25,169.74
2000-02-28,168.91
2000-02-29,170.67
2000-03-01,174.95
2000-03-02,174.63
2000-03-03,174.24
2000-03-06,176.60
2000-03-07,182.64
2000-03-08,173.45
2000-03-09,174.67
2000-03-10,173.25
2000-03-13,174.30
2000-03-14,173.93
2000-03-15,171.25
2000-03-16,171.84
2000-03-17,171.61
2000-03-20,165.75
2000-03-21,166.85
2000-03-22,165.94
2000-03-23,165.16
2000-03-24,167.25
2000-03-27,166.24
2000-03-28,163.92
2000-03-29,161.85
2000-03-30,163.29
2000-03-31,164.44
2000-04-03,162.29
2000-04-04,158.87
2000-04-05,160.28
2000-04-06,159.00
2000-04-07,157.23
2000-04-10,153.04
2000-04-11,153.35
2000-04-12,158.63
2000-04-13,158.36
2000-04-14,156.53
2000-04-17,157.70
2000-04-18,158.53
2000-04-19,163.20
2000-04-20,162.83
2000-04-21,162.83
2000-04-24,163.32
2000-04-25,161.53
2000-04-26,158.94
2000-04-27,160.76
2000-04-28,161.12
2000-05-01,162.88
2000-05-02,166.80
2000-05-03,166.05
2000-05-04,166.97
2000-05-05,166.97
2000-05-08,169.14
2000-05-09,171.63
2000-05-10,172.36
2000-05-11,176.15
2000-05-12,177.45
2000-05-15,178.24
2000-05-16,178.13
2000-05-17,177.71
2000-05-18,180.49
2000-05-19,179.60
2000-05-22,175.96
2000-05-23,175.42
2000-05-24,178.74
2000-05-25,179.85
2000-05-26,177.47
2000-05-30,177.35
2000-05-31,173.63
2000-06-01,177.69
2000-06-02,178.15
2000-06-05,176.13
2000-06-06,176.85
2000-06-07,177.02
2000-06-08,176.36
2000-06-09,177.16
2000-06-12,180.41
2000-06-13,182.94
2000-06-14,182.46
2000-06-15,182.13
2000-06-16,178.75
2000-06-19,177.83
2000-06-20,181.14
2000-06-21,184.09
2000-06-22,186.98
2000-06-23,186.03
2000-06-26,184.36
2000-06-27,185.69
2000-06-28,185.39
2000-06-29,188.14
2000-06-30,185.35
2000-07-03,185.54
2000-07-05,178.87
2000-07-06,176.25
2000-07-07,177.66
2000-07-10,176.38
2000-07-11,177.65
2000-07-12,179.37
2000-07-13,182.08
2000-07-14,181.21
2000-07-17,178.79
2000-07-18,181.83
2000-07-19,180.73
2000-07-20,179.61
2000-07-21,175.62
2000-07-24,173.91
2000-07-25,173.32
2000-07-26,172.66
2000-07-27,173.48
2000-07-28,174.00
2000-07-31,171.26
2000-08-01,172.53
2000-08-02,174.17
2000-08-03,174.82
2000-08-04,177.69
2000-08-07,174.37
2000-08-08,175.49
2000-08-09,177.17
2000-08-10,179.03
2000-08-11,177.15
2000-08-14,178.68
2000-08-15,178.49
2000-08-16,179.59
2000-08-17,180.07
2000-08-18,181.14
2000-08-21,182.20
2000-08-22,181.11
2000-08-23,182.68
2000-08-24,182.18
2000-08-25,182.38
2000-08-28,185.19
2000-08-29,185.93
2000-08-30,189.02
2000-08-31,188.54
2000-09-01,188.27
2000-09-05,190.68
2000-09-06,192.35
2000-09-07,193.70
2000-09-08,188.99
2000-09-11,193.85
2000-09-12,192.56
2000-09-13,191.55
2000-09-14,192.44
2000-09-15,195.37
2000-09-18,196.90
2000-09-19,194.47
2000-09-20,193.72
2000-09-21,193.02
2000-09-22,191.86
2000-09-25,191.94
2000-09-26,191.69
2000-09-27,192.68
2000-09-28,189.49
2000-09-29,191.08
2000-10-02,194.55
2000-10-03,195.12
2000-10-04,193.99
2000-10-05,193.29
2000-10-06,193.55
2000-10-10,199.90
2000-10-11,200.75
2000-10-12,204.93
2000-10-13,197.99
2000-10-16,193.12
2000-10-17,193.87
2000-10-18,192.78
2000-10-19,189.73
2000-10-20,193.10
2000-10-23,194.80
2000-10-24,192.47
2000-10-25,190.94
2000-10-26,192.31
2000-10-27,186.90
2000-10-30,186.32
2000-10-31,186.96
2000-11-01,186.82
2000-11-02,185.53
2000-11-03,186.88
2000-11-06,187.21
2000-11-07,188.97
2000-11-08,189.32
2000-11-09,190.85
2000-11-10,189.36
2000-11-13,189.53
2000-11-14,189.57
2000-11-15,190.62
2000-11-16,189.75
2000-11-17,191.54
2000-11-20,190.65
2000-11-21,191.34
2000-11-22,191.42
2000-11-24,191.94
2000-11-27,192.52
2000-11-28,190.00
2000-11-29,190.58
2000-11-30,189.24
2000-12-01,186.26
2000-12-04,184.93
2000-12-05,182.66
2000-12-06,184.63
2000-12-07,183.75
2000-12-08,183.51
2000-12-11,186.14
2000-12-12,185.01
2000-12-13,181.41
2000-12-14,179.65
2000-12-15,181.59
2000-12-18,183.06
2000-12-19,181.75
2000-12-20,175.72
2000-12-21,177.51
2000-12-22,177.34
2000-12-26,178.78
2000-12-27,178.44
2000-12-28,176.74
2000-12-29,179.65
2001-01-02,179.71
2001-01-03,181.18
2001-01-04,181.61
2001-01-05,180.07
2001-01-08,178.09
2001-01-09,178.87
2001-01-10,183.12
2001-01-11,182.39
2001-01-12,182.92
2001-01-16,181.12
2001-01-17,180.19
2001-01-18,182.47
2001-01-19,186.13
2001-01-22,184.12
2001-01-23,184.86
2001-01-24,183.22
2001-01-25,183.80
2001-01-26,184.00
2001-01-29,181.87
2001-01-30,182.81
2001-01-31,181.79
2001-02-01,184.41
2001-02-02,188.39
2001-02-05,186.40
2001-02-06,185.84
2001-02-07,189.25
2001-02-08,190.44
2001-02-09,188.62
2001-02-12,187.06
2001-02-13,187.96
2001-02-14,185.92
2001-02-15,184.11
2001-02-16,184.71
2001-02-20,183.91
2001-02-21,181.80
2001-02-22,181.83
2001-02-23,182.71
2001-02-26,182.32
2001-02-27,182.64
2001-02-28,181.69
2001-03-01,182.55
2001-03-02,183.31
2001-03-05,185.35
2001-03-06,184.83
2001-03-07,186.86
2001-03-08,185.55
2001-03-09,185.29
2001-03-12,186.03
2001-03-13,184.53
2001-03-14,180.30
2001-03-15,179.87
2001-03-16,178.54
2001-03-19,177.50
2001-03-20,177.05
2001-03-21,178.71
2001-03-22,177.01
2001-03-23,180.00
2001-03-26,180.55
2001-03-27,182.15
2001-03-28,176.97
2001-03-29,177.78
2001-03-30,177.04
2001-04-02,174.64
2001-04-03,176.87
2001-04-04,180.16
2001-04-05,180.96
2001-04-06,180.16
2001-04-09,181.27
2001-04-10,185.94
2001-04-11,186.09
2001-04-12,186.62
2001-04-13,186.62
2001-04-16,190.09
2001-04-17,188.17
2001-04-18,187.73
2001-04-19,186.82
2001-04-20,184.66
2001-04-23,183.70
2001-04-24,182.22
2001-04-25,184.59
2001-04-26,187.73
2001-04-27,186.37
2001-04-30,187.19
2001-05-01,188.79
2001-05-02,186.11
2001-05-03,187.99
2001-05-04,187.98
2001-05-07,186.21
2001-05-08,186.08
2001-05-09,187.26
2001-05-10,186.57
2001-05-11,186.12
2001-05-14,186.86
2001-05-15,187.28
2001-05-16,187.04
2001-05-17,187.48
2001-05-18,191.44
2001-05-21,190.36
2001-05-22,189.20
2001-05-23,188.56
2001-05-24,185.96
2001-05-25,185.41
2001-05-29,185.21
2001-05-30,184.84
2001-05-31,184.63
2001-06-01,184.73
2001-06-04,184.64
2001-06-05,185.47
2001-06-06,184.89
2001-06-07,184.66
2001-06-08,186.12
2001-06-11,186.86
2001-06-12,188.04
2001-06-13,187.26
2001-06-14,187.37
2001-06-15,184.62
2001-06-18,182.40
2001-06-19,182.39
2001-06-20,178.53
2001-06-21,177.83
2001-06-22,178.02
2001-06-25,178.92
2001-06-26,178.44
2001-06-27,175.00
2001-06-28,174.46
2001-06-29,176.13
2001-07-02,175.88
2001-07-03,176.70
2001-07-05,178.66
2001-07-06,181.93
2001-07-09,180.45
2001-07-10,180.80
2001-07-11,180.06
2001-07-12,181.52
2001-07-13,179.21
2001-07-16,178.02
2001-07-17,178.53
2001-07-18,175.69
2001-07-19,174.93
2001-07-20,177.20
2001-07-23,177.52
2001-07-24,178.46
2001-07-25,180.11
2001-07-26,179.72
2001-07-27,180.22
2001-07-30,178.49
2001-07-31,178.00
2001-08-01,178.78
2001-08-02,181.33
2001-08-03,180.44
2001-08-06,180.77
2001-08-07,181.83
2001-08-08,180.79
2001-08-09,181.90
2001-08-10,183.05
2001-08-13,182.84
2001-08-14,183.17
2001-08-15,181.19
2001-08-16,180.47
2001-08-17,177.34
2001-08-20,178.65
2001-08-21,180.66
2001-08-22,179.90
2001-08-23,181.52
2001-08-24,181.62
2001-08-27,181.18
2001-08-28,182.62
2001-08-29,182.63
2001-08-30,180.46
2001-08-31,183.08
2001-09-04,181.45
2001-09-05,181.57
2001-09-06,182.52
2001-09-07,183.73
2001-09-10,182.77
2001-09-11,183.01
2001-09-12,182.71
2001-09-13,183.02
2001-09-14,186.66
2001-09-17,185.60
2001-09-18,181.93
2001-09-19,180.64
2001-09-20,179.82
2001-09-21,178.29
2001-09-24,168.95
2001-09-25,168.78
2001-09-26,171.62
2001-09-27,172.49
2001-09-28,174.18
2001-10-01,173.88
2001-10-02,171.80
2001-10-03,170.49
2001-10-04,172.08
2001-10-05,171.40
2001-10-09,171.99
2001-10-10,172.06
2001-10-11,173.35
2001-10-12,169.86
2001-10-15,168.79
2001-10-16,168.35
2001-10-17,169.02
2001-10-18,166.79
2001-10-19,168.61
2001-10-22,167.89
2001-10-23,167.19
2001-10-24,168.35
2001-10-25,167.85
2001-10-26,168.22
2001-10-29,168.17
2001-10-30,167.85
2001-10-31,165.51
2001-11-01,163.01
2001-11-02,162.50
2001-11-05,161.58
2001-11-06,161.01
2001-11-07,161.17
2001-11-08,164.06
2001-11-09,167.97
2001-11-13,166.69
2001-11-14,161.83
2001-11-15,155.77
2001-11-16,158.63
2001-11-19,159.29
2001-11-20,160.54
2001-11-21,159.82
2001-11-23,159.46
2001-11-26,158.04
2001-11-27,160.34
2001-11-28,159.89
2001-11-29,159.42
2001-11-30,162.84
2001-12-03,163.73
2001-12-04,161.96
2001-12-05,161.48
2001-12-06,158.39
2001-12-07,160.49
2001-12-10,158.03
2001-12-11,157.02
2001-12-12,157.10
2001-12-13,156.24
2001-12-14,159.73
2001-12-17,159.86
2001-12-18,160.24
2001-12-19,160.94
2001-12-20,158.59
2001-12-21,159.37
2001-12-24,159.37
2001-12-26,164.84
2001-12-27,163.59
2001-12-28,161.76
2001-12-31,159.74
2002-01-02,163.57
2002-01-03,161.62
2002-01-04,166.16
2002-01-07,166.28
2002-01-08,165.62
2002-01-09,163.02
2002-01-10,164.51
2002-01-11,163.08
2002-01-14,160.58
2002-01-15,160.18
2002-01-16,161.71
2002-01-17,158.61
2002-01-18,158.15
2002-01-22,158.71
2002-01-23,159.71
2002-01-24,160.35
2002-01-25,161.34
2002-01-28,160.29
2002-01-29,158.93
2002-01-30,158.05
2002-01-31,160.16
2002-02-01,162.98
2002-02-04,161.37
2002-02-05,161.95
2002-02-06,160.09
2002-02-07,160.26
2002-02-08,162.36
2002-02-11,166.07
2002-02-12,163.61
2002-02-13,165.49
2002-02-14,164.86
2002-02-15,164.71
2002-02-19,162.66
2002-02-20,160.96
2002-02-21,162.86
2002-02-22,162.63
2002-02-25,160.10
2002-02-26,163.42
2002-02-27,163.87
2002-02-28,165.92
2002-03-01,168.90
2002-03-04,168.68
2002-03-05,171.51
2002-03-06,171.57
2002-03-07,173.75
2002-03-08,174.28
2002-03-11,176.51
2002-03-12,176.54
2002-03-13,176.56
2002-03-14,177.01
2002-03-15,176.71
2002-03-18,179.02
2002-03-19,179.06
2002-03-20,177.94
2002-03-21,180.06
2002-03-22,178.57
2002-03-25,177.46
2002-03-26,179.52
2002-03-27,181.77
2002-03-28,182.23
2002-03-29,182.11
2002-04-01,184.20
2002-04-02,187.36
2002-04-03,186.35
2002-04-04,182.92
2002-04-05,181.09
2002-04-08,181.80
2002-04-09,179.32
2002-04-10,179.69
2002-04-11,175.55
2002-04-12,169.76
2002-04-15,173.93
2002-04-16,175.23
2002-04-17,178.75
2002-04-18,178.23
2002-04-19,178.89
2002-04-22,179.30
2002-04-23,179.92
2002-04-24,179.06
2002-04-25,180.33
2002-04-26,181.53
2002-04-29,182.80
2002-04-30,182.50
2002-05-01,180.59
2002-05-02,178.07
2002-05-03,179.37
2002-05-06,177.76
2002-05-07,179.81
2002-05-08,181.87
2002-05-09,182.51
2002-05-10,183.20
2002-05-13,185.46
2002-05-14,187.58
2002-05-15,183.09
2002-05-16,183.51
