DATE,IBOXIG
1999-12-31,95.72
2000-01-03,95.74
2000-01-04,95.64
2000-01-05,95.64
2000-01-06,95.56
2000-01-07,95.58
2000-01-10,95.39
2000-01-11,95.00
2000-01-12,94.86
2000-01-13,95.03
2000-01-14,94.78
2000-01-18,94.66
2000-01-19,94.72
2000-01-20,94.63
2000-01-21,94.65
2000-01-24,94.93
2000-01-25,95.00
2000-01-26,95.12
2000-01-27,95.09
2000-01-28,95.16
2000-01-31,94.93
2000-02-01,94.99
2000-02-02,94.79
2000-02-03,95.60
2000-02-04,95.55
2000-02-07,95.21
2000-02-08,95.31
2000-02-09,95.12
2000-02-10,94.75
2000-02-11,94.89
2000-02-14,95.30
2000-02-15,94.88
2000-02-16,94.93
2000-02-17,94.99
2000-02-18,95.34
2000-02-22,95.39
2000-02-23,95.51
2000-02-24,95.74
2000-02-25,95.78
2000-02-28,95.43
2000-02-29,95.56
2000-03-01,95.79
2000-03-02,95.93
2000-03-03,96.13
2000-03-06,95.91
2000-03-07,95.84
2000-03-08,95.66
2000-03-09,95.61
2000-03-10,95.23
2000-03-13,95.33
2000-03-14,95.47
2000-03-15,95.81
2000-03-16,96.40
2000-03-17,96.61
2000-03-20,96.59
2000-03-21,96.47
2000-03-22,96.33
2000-03-23,96.96
2000-03-24,96.58
2000-03-27,96.46
2000-03-28,96.43
2000-03-29,96.32
2000-03-30,96.93
2000-03-31,97.18
2000-04-03,97.16
2000-04-04,97.57
2000-04-05,97.57
2000-04-06,97.52
2000-04-07,97.84
2000-04-10,97.68
2000-04-11,97.45
2000-04-12,97.11
2000-04-13,97.37
2000-04-14,97.20
2000-04-17,96.91
2000-04-18,97.14
2000-04-19,97.21
2000-04-20,97.52
2000-04-24,97.39
2000-04-25,96.93
2000-04-26,96.92
2000-04-27,96.39
2000-04-28,96.48
2000-05-01,96.28
2000-05-02,96.20
2000-05-03,95.25
2000-05-04,94.87
2000-05-05,94.55
2000-05-08,94.23
2000-05-09,94.24
2000-05-10,94.45
2000-05-11,94.41
2000-05-12,94.01
2000-05-15,94.20
2000-05-16,94.65
2000-05-17,94.23
2000-05-18,93.84
2000-05-19,94.07
2000-05-22,94.52
2000-05-23,94.51
2000-05-24,94.65
2000-05-25,95.16
2000-05-26,95.43
2000-05-30,95.19
2000-05-31,95.62
2000-06-01,96.54
2000-06-02,97.17
2000-06-05,97.68
2000-06-06,97.53
2000-06-07,97.51
2000-06-08,97.35
2000-06-09,97.78
2000-06-12,98.13
2000-06-13,98.00
2000-06-14,98.37
2000-06-15,98.30
2000-06-16,98.57
2000-06-19,98.31
2000-06-20,98.19
2000-06-21,97.70
2000-06-22,97.30
2000-06-23,97.09
2000-06-26,97.54
2000-06-27,97.70
2000-06-28,97.62
2000-06-29,98.20
2000-06-30,98.20
2000-07-03,98.61
2000-07-05,98.83
2000-07-06,98.61
2000-07-07,98.93
2000-07-10,98.85
2000-07-11,98.80
2000-07-12,98.82
2000-07-13,98.61
2000-07-14,98.84
2000-07-17,98.51
2000-07-18,98.54
2000-07-19,98.55
2000-07-20,99.46
2000-07-21,99.53
2000-07-24,99.29
2000-07-25,99.36
2000-07-26,99.39
2000-07-27,99.12
2000-07-28,99.31
2000-07-31,99.22
2000-08-01,99.39
2000-08-02,99.72
2000-08-03,100.01
2000-08-04,100.37
2000-08-07,100.26
2000-08-08,100.51
2000-08-09,100.32
2000-08-10,100.45
2000-08-11,100.22
2000-08-14,100.32
2000-08-15,100.16
2000-08-16,100.01
2000-08-17,99.85
2000-08-18,100.05
2000-08-21,99.98
2000-08-22,100.12
2000-08-23,100.60
2000-08-24,100.63
2000-08-25,100.67
2000-08-28,100.34
2000-08-29,100.02
2000-08-30,100.07
2000-08-31,100.51
2000-09-01,100.82
2000-09-05,100.91
2000-09-06,100.69
2000-09-07,100.45
2000-09-08,100.71
2000-09-11,100.63
2000-09-12,100.74
2000-09-13,101.03
2000-09-14,100.95
2000-09-15,101.02
2000-09-18,100.88
2000-09-19,100.92
2000-09-20,100.78
2000-09-21,100.93
2000-09-22,101.20
2000-09-25,101.37
2000-09-26,101.72
2000-09-27,101.61
2000-09-28,101.60
2000-09-29,101.77
2000-10-02,101.60
2000-10-03,101.45
2000-10-04,101.20
2000-10-05,101.11
2000-10-06,101.25
2000-10-10,100.77
2000-10-11,100.88
2000-10-12,101.00
2000-10-13,101.09
2000-10-16,101.01
2000-10-17,100.96
2000-10-18,101.05
2000-10-19,101.33
2000-10-20,101.51
2000-10-23,101.88
2000-10-24,101.90
2000-10-25,101.74
2000-10-26,101.72
2000-10-27,101.73
2000-10-30,101.66
2000-10-31,101.70
2000-11-01,102.04
2000-11-02,102.05
2000-11-03,101.58
2000-11-06,101.41
2000-11-07,101.39
2000-11-08,101.47
2000-11-09,101.73
2000-11-13,101.82
2000-11-14,102.09
2000-11-15,102.20
2000-11-16,102.15
2000-11-17,101.73
2000-11-20,101.70
2000-11-21,101.51
2000-11-22,101.90
2000-11-24,101.79
2000-11-27,101.67
2000-11-28,101.84
2000-11-29,102.06
2000-11-30,102.70
2000-12-01,102.52
2000-12-04,102.29
2000-12-05,102.92
2000-12-06,103.56
2000-12-07,103.67
2000-12-08,103.52
2000-12-11,103.58
2000-12-12,103.72
2000-12-13,104.42
2000-12-14,104.73
