DATE,JPEICORE
1999-12-31,106.88
2000-01-03,106.98
2000-01-04,106.19
2000-01-05,106.00
2000-01-06,105.75
2000-01-07,106.43
2000-01-10,106.52
2000-01-11,105.56
2000-01-12,105.17
2000-01-13,105.85
2000-01-14,106.00
2000-01-18,105.83
2000-01-19,106.13
2000-01-20,106.03
2000-01-21,106.24
2000-01-24,106.58
2000-01-25,106.28
2000-01-26,106.40
2000-01-27,106.26
2000-01-28,105.44
2000-01-31,105.06
2000-02-01,105.45
2000-02-02,105.59
2000-02-03,106.50
2000-02-04,107.45
2000-02-07,107.95
2000-02-08,108.52
2000-02-09,108.35
2000-02-10,108.82
2000-02-11,108.69
2000-02-14,109.12
2000-02-15,109.74
2000-02-16,109.70
2000-02-17,109.54
2000-02-18,109.35
2000-02-22,109.38
2000-02-23,109.74
2000-02-24,109.76
2000-02-25,110.20
2000-02-28,110.16
2000-02-29,110.69
2000-03-01,110.95
2000-03-02,111.91
2000-03-03,112.28
2000-03-06,112.37
2000-03-07,112.87
2000-03-08,113.52
2000-03-09,113.67
2000-03-10,113.47
2000-03-13,112.94
2000-03-14,113.06
2000-03-15,112.46
2000-03-16,113.06
2000-03-17,113.55
2000-03-20,113.56
2000-03-21,113.92
2000-03-22,114.70
2000-03-23,114.31
2000-03-24,114.43
2000-03-27,114.47
2000-03-28,114.41
2000-03-29,114.32
2000-03-30,112.76
2000-03-31,113.21
2000-04-03,112.89
2000-04-04,111.61
2000-04-05,111.11
2000-04-06,111.73
2000-04-07,112.26
2000-04-10,112.43
2000-04-11,111.76
2000-04-12,111.86
2000-04-13,112.05
2000-04-14,111.10
2000-04-17,109.98
2000-04-18,110.69
2000-04-19,110.67
2000-04-20,110.82
2000-04-24,110.43
2000-04-25,110.79
2000-04-26,110.52
2000-04-27,110.14
2000-04-28,110.71
2000-05-01,110.86
2000-05-02,110.72
2000-05-03,109.47
2000-05-04,108.45
2000-05-05,107.52
2000-05-08,106.70
2000-05-09,106.71
2000-05-10,106.03
2000-05-11,106.24
2000-05-12,105.10
2000-05-15,106.02
2000-05-16,106.43
2000-05-17,106.41
2000-05-18,106.53
2000-05-19,105.44
2000-05-22,104.71
2000-05-23,104.93
2000-05-24,105.59
2000-05-25,106.14
2000-05-26,106.24
2000-05-30,107.04
2000-05-31,107.89
2000-06-01,109.27
2000-06-02,110.93
2000-06-05,110.61
2000-06-06,110.24
2000-06-07,110.77
2000-06-08,110.98
2000-06-09,111.60
2000-06-12,111.41
2000-06-13,111.89
2000-06-14,112.74
2000-06-15,112.52
2000-06-16,112.70
2000-06-19,112.80
2000-06-20,113.12
2000-06-21,112.84
2000-06-22,112.52
2000-06-23,111.68
2000-06-26,111.96
2000-06-27,112.57
2000-06-28,112.86
2000-06-29,113.17
2000-06-30,113.24
2000-07-03,113.71
2000-07-05,114.39
2000-07-06,114.29
2000-07-07,114.59
2000-07-10,114.65
2000-07-11,114.34
2000-07-12,114.93
2000-07-13,115.36
2000-07-14,115.16
2000-07-17,115.13
2000-07-18,115.08
2000-07-19,114.94
2000-07-20,115.68
2000-07-21,115.97
2000-07-24,116.06
2000-07-25,115.99
2000-07-26,116.03
2000-07-27,116.34
2000-07-28,116.58
2000-07-31,116.83
2000-08-01,117.02
2000-08-02,117.28
2000-08-03,117.55
2000-08-04,118.16
2000-08-07,118.22
2000-08-08,118.30
2000-08-09,118.67
2000-08-10,118.78
2000-08-11,119.29
2000-08-14,119.14
2000-08-15,118.98
2000-08-16,118.49
2000-08-17,119.01
2000-08-18,118.47
2000-08-21,118.18
2000-08-22,118.70
2000-08-23,119.15
2000-08-24,119.47
2000-08-25,120.01
2000-08-28,119.89
2000-08-29,119.80
2000-08-30,120.16
2000-08-31,120.86
2000-09-01,121.21
2000-09-05,121.35
2000-09-06,121.65
2000-09-07,120.95
2000-09-08,120.74
2000-09-11,120.25
2000-09-12,120.03
2000-09-13,120.00
2000-09-14,120.03
2000-09-15,119.14
2000-09-18,117.29
2000-09-19,117.64
2000-09-20,117.23
2000-09-21,118.01
