DATE,LBUTTRUU
1999-12-31,108.65
2000-01-03,108.47
2000-01-04,108.54
2000-01-05,108.47
2000-01-06,108.24
2000-01-07,108.23
2000-01-10,108.16
2000-01-11,108.08
2000-01-12,108.31
2000-01-13,108.33
2000-01-14,108.08
2000-01-18,107.89
2000-01-19,107.85
2000-01-20,107.91
2000-01-21,108.13
2000-01-24,108.28
2000-01-25,108.54
2000-01-26,108.68
2000-01-27,108.72
2000-01-28,108.60
2000-01-31,109.14
2000-02-01,109.05
2000-02-02,109.71
2000-02-03,110.09
2000-02-04,109.86
2000-02-07,109.83
2000-02-08,109.85
2000-02-09,109.65
2000-02-10,109.64
2000-02-11,109.68
2000-02-14,109.74
2000-02-15,109.86
2000-02-16,109.80
2000-02-17,109.77
2000-02-18,109.98
2000-02-22,110.15
2000-02-23,110.04
2000-02-24,110.18
2000-02-25,110.14
2000-02-28,110.09
2000-02-29,110.12
2000-03-01,110.20
2000-03-02,110.42
2000-03-03,110.51
2000-03-06,110.56
2000-03-07,110.75
2000-03-08,110.77
2000-03-09,110.85
2000-03-10,110.80
2000-03-13,110.93
2000-03-14,111.11
2000-03-15,111.17
2000-03-16,111.26
2000-03-17,111.35
2000-03-20,111.46
2000-03-21,111.64
2000-03-22,112.04
2000-03-23,112.37
2000-03-24,112.41
2000-03-27,112.45
2000-03-28,112.65
2000-03-29,112.75
2000-03-30,113.20
2000-03-31,113.34
2000-04-03,113.70
2000-04-04,113.84
2000-04-05,113.85
2000-04-06,113.75
2000-04-07,113.86
2000-04-10,113.99
2000-04-11,114.05
2000-04-12,113.81
2000-04-13,113.75
2000-04-14,114.12
2000-04-17,114.31
2000-04-18,114.39
2000-04-19,114.43
2000-04-20,114.45
2000-04-24,114.60
2000-04-25,114.52
2000-04-26,114.54
2000-04-27,114.71
2000-04-28,114.85
2000-05-01,114.96
2000-05-02,115.01
2000-05-03,114.97
2000-05-04,114.81
2000-05-05,114.14
2000-05-08,114.08
2000-05-09,113.88
2000-05-10,113.89
2000-05-11,113.71
2000-05-12,113.36
2000-05-15,113.53
2000-05-16,113.72
2000-05-17,113.60
2000-05-18,113.27
2000-05-19,113.31
2000-05-22,113.56
2000-05-23,113.72
2000-05-24,113.91
2000-05-25,114.11
2000-05-26,114.15
2000-05-30,114.31
2000-05-31,114.56
2000-06-01,114.86
2000-06-02,115.21
2000-06-05,115.19
2000-06-06,115.22
2000-06-07,115.26
2000-06-08,115.28
2000-06-09,115.37
2000-06-12,115.47
2000-06-13,115.57
2000-06-14,115.54
2000-06-15,115.56
2000-06-16,115.70
2000-06-19,115.75
2000-06-20,115.72
2000-06-21,115.69
2000-06-22,115.71
2000-06-23,115.67
2000-06-26,115.74
2000-06-27,115.73
2000-06-28,115.72
2000-06-29,115.86
2000-06-30,116.00
2000-07-03,116.28
2000-07-05,116.44
2000-07-06,116.42
2000-07-07,116.53
2000-07-10,116.50
2000-07-11,116.52
2000-07-12,116.46
2000-07-13,116.60
2000-07-14,116.56
2000-07-17,116.48
2000-07-18,116.63
2000-07-19,116.59
2000-07-20,116.82
2000-07-21,116.86
2000-07-24,116.79
2000-07-25,116.86
2000-07-26,116.89
2000-07-27,116.91
2000-07-28,116.88
2000-07-31,117.00
2000-08-01,117.12
2000-08-02,117.21
2000-08-03,117.22
2000-08-04,117.25
2000-08-07,117.27
2000-08-08,117.28
2000-08-09,117.31
2000-08-10,117.37
2000-08-11,117.31
2000-08-14,117.37
2000-08-15,117.28
2000-08-16,117.25
2000-08-17,117.28
2000-08-18,117.30
2000-08-21,117.45
2000-08-22,117.51
2000-08-23,117.60
2000-08-24,117.72
2000-08-25,117.75
2000-08-28,117.82
2000-08-29,117.84
2000-08-30,117.74
2000-08-31,117.87
2000-09-01,117.89
2000-09-05,118.03
2000-09-06,118.04
2000-09-07,117.97
2000-09-08,118.14
2000-09-11,118.20
2000-09-12,118.23
