DATE,LT11TRUU
1999-12-31,182.28
2000-01-03,180.21
2000-01-04,181.79
2000-01-05,180.00
2000-01-06,181.41
2000-01-07,182.42
2000-01-10,181.79
2000-01-11,179.99
2000-01-12,179.67
2000-01-13,181.42
2000-01-14,180.63
2000-01-18,179.87
2000-01-19,180.45
2000-01-20,180.16
2000-01-21,180.63
2000-01-24,181.85
2000-01-25,182.30
2000-01-26,183.55
2000-01-27,184.84
2000-01-28,186.74
2000-01-31,185.45
2000-02-01,186.69
2000-02-02,188.07
2000-02-03,190.38
2000-02-04,189.76
2000-02-07,188.16
2000-02-08,190.60
2000-02-09,188.70
2000-02-10,186.87
2000-02-11,187.87
2000-02-14,189.63
2000-02-15,188.97
2000-02-16,188.75
2000-02-17,189.75
2000-02-18,191.34
2000-02-22,193.48
2000-02-23,192.05
2000-02-24,192.65
2000-02-25,191.46
2000-02-28,190.61
2000-02-29,192.03
2000-03-01,191.61
2000-03-02,192.08
2000-03-03,192.95
2000-03-06,192.27
2000-03-07,192.25
2000-03-08,191.92
2000-03-09,191.99
2000-03-10,191.22
2000-03-13,191.58
2000-03-14,193.07
2000-03-15,193.99
2000-03-16,194.63
2000-03-17,195.61
2000-03-20,195.91
2000-03-21,196.41
2000-03-22,196.39
2000-03-23,197.47
2000-03-24,195.40
2000-03-27,195.61
2000-03-28,195.62
2000-03-29,195.64
2000-03-30,198.07
2000-03-31,199.22
2000-04-03,199.58
2000-04-04,201.50
2000-04-05,200.71
2000-04-06,200.92
2000-04-07,203.04
2000-04-10,203.33
2000-04-11,201.08
2000-04-12,199.54
2000-04-13,200.48
2000-04-14,200.72
2000-04-17,197.76
2000-04-18,197.97
2000-04-19,199.94
2000-04-20,200.19
2000-04-24,199.40
2000-04-25,198.05
2000-04-26,197.82
2000-04-27,196.43
2000-04-28,197.24
2000-05-01,197.02
2000-05-02,195.69
2000-05-03,193.50
2000-05-04,191.59
2000-05-05,191.15
2000-05-08,189.77
2000-05-09,190.89
2000-05-10,192.17
2000-05-11,192.62
2000-05-12,191.15
2000-05-15,192.36
2000-05-16,193.41
2000-05-17,192.24
2000-05-18,190.44
2000-05-19,190.91
2000-05-22,192.39
2000-05-23,192.37
2000-05-24,191.93
2000-05-25,194.17
2000-05-26,195.18
2000-05-30,194.27
2000-05-31,196.25
2000-06-01,197.90
2000-06-02,198.39
2000-06-05,199.22
2000-06-06,199.15
2000-06-07,199.81
2000-06-08,200.13
2000-06-09,200.00
2000-06-12,200.48
2000-06-13,198.87
2000-06-14,200.01
2000-06-15,199.68
2000-06-16,200.97
2000-06-19,200.51
2000-06-20,200.25
2000-06-21,198.76
2000-06-22,198.52
2000-06-23,197.25
2000-06-26,198.48
2000-06-27,199.20
2000-06-28,198.58
2000-06-29,200.79
2000-06-30,200.51
2000-07-03,201.23
2000-07-05,201.47
2000-07-06,200.37
2000-07-07,201.36
2000-07-10,201.23
2000-07-11,201.28
2000-07-12,201.26
