TICKER,STATUS
A,Active
AAL,Active
AAPL,Active
ABBV,Active
ABNB,Active
ABT,Active
ACGL,Active
ACN,Active
ADBE,Active
ADI,Active
ADM,Active
ADP,Active
ADSK,Active
AEE,Active
AEP,Active
AES,Active
AFL,Active
AIG,Active
AIZ,Active
AJG,Active
AKAM,Active
ALB,Active
ALGN,Active
ALK,Active
ALL,Active
ALLE,Active
AMAT,Active
AMCR,Active
AMD,Active
AME,Active
AMGN,Active
AMP,Active
AMT,Active
AMZN,Active
ANET,Active
ANSS,Active
AON,Active
AOS,Active
APA,Active
APD,Active
APH,Active
APTV,Active
ARE,Active
ATO,Active
AVB,Active
AVGO,Active
AVY,Active
AWK,Active
AXON,Active
AXP,Active
AZO,Active
BA,Active
BAC,Active
BALL,Active
BAX,Active
BBWI,Active
BBY,Active
BDX,Active
BEN,Active
BF/B,Active
BG,Active
BIIB,Active
BIO,Active
BK,Active
BKNG,Active
BKR,Active
BLK,Active
BMY,Active
BR,Active
BRK/B,Active
BRO,Active
BSX,Active
BWA,Active
BX,Active
BXP,Active
C,Active
CAG,Active
CAH,Active
CARR,Active
CAT,Active
CB,Active
CBOE,Active
CBRE,Active
CCI,Active
CCL,Active
CDAY,Active
CDNS,Active
CDW,Active
CE,Active
CEG,Active
CF,Active
CFG,Active
CHD,Active
CHRW,Active
CHTR,Active
CI,Active
CINF,Active
CL,Active
CLX,Active
CMA,Active
CMCSA,Active
CME,Active
CMG,Active
CMI,Active
CMS,Active
CNC,Active
CNP,Active
COF,Active
COO,Active
COP,Active
COR,Active
COST,Active
CPB,Active
CPRT,Active
CPT,Active
CRL,Active
CRM,Active
CSCO,Active
CSGP,Active
CSX,Active
CTAS,Active
CTLT,Active
CTRA,Active
CTSH,Active
CTVA,Active
CVS,Active
CVX,Active
CZR,Active
D,Active
DAL,Active
DD,Active
DE,Active
DFS,Active
DG,Active
DGX,Active
DHI,Active
DHR,Active
DIS,Active
DLR,Active
DLTR,Active
DOV,Active
DOW,Active
DPZ,Active
DRI,Active
DTE,Active
DUK,Active
DVA,Active
DVN,Active
DXCM,Active
EA,Active
EBAY,Active
ECL,Active
ED,Active
EFX,Active
EG,Active
EIX,Active
EL,Active
ELV,Active
EMN,Active
EMR,Active
ENPH,Active
EOG,Active
EPAM,Active
EQIX,Active
EQR,Active
EQT,Active
ES,Active
ESS,Active
ETN,Active
ETR,Active
ETSY,Active
EVRG,Active
EW,Active
EXC,Active
EXPD,Active
EXPE,Active
EXR,Active
F,Active
FANG,Active
FAST,Active
FCX,Active
FDS,Active
FDX,Active
FE,Active
FFIV,Active
FI,Active
FICO,Active
FIS,Active
FITB,Active
FLT,Active
FMC,Active
FOX,Active
FOXA,Active
FRT,Active
FSLR,Active
FTNT,Active
FTV,Active
GD,Active
GE,Active
GEHC,Active
GEN,Active
GILD,Active
GIS,Active
GL,Active
GLW,Active
GM,Active
GNRC,Active
GOOG,Active
GOOGL,Active
GPC,Active
GPN,Active
GRMN,Active
GS,Active
GWW,Active
HAL,Active
HAS,Active
HBAN,Active
HCA,Active
HD,Active
HES,Active
HIG,Active
HII,Active
HLT,Active
HOLX,Active
HON,Active
HPE,Active
HPQ,Active
HRL,Active
HSIC,Active
HST,Active
HSY,Active
HUBB,Active
HUM,Active
HWM,Active
IBM,Active
ICE,Active
IDXX,Active
IEX,Active
IFF,Active
ILMN,Active
INCY,Active
INTC,Active
INTU,Active
INVH,Active
IP,Active
IPG,Active
IQV,Active
IR,Active
IRM,Active
ISRG,Active
IT,Active
ITW,Active
IVZ,Active
J,Active
JBHT,Active
JCI,Active
JKHY,Active
JNJ,Active
JNPR,Active
JPM,Active
K,Active
KDP,Active
KEY,Active
KEYS,Active
KHC,Active
KIM,Active
KLAC,Active
KMB,Active
KMI,Active
KMX,Active
KO,Active
KR,Active
KVUE,Active
L,Active
LDOS,Active
LEN,Active
LH,Active
LHX,Active
LIN,Active
LKQ,Active
LLY,Active
LMT,Active
LNT,Active
LOW,Active
LRCX,Active
LULU,Active
LUV,Active
LVS,Active
LW,Active
LYB,Active
LYV,Active
MA,Active
MAA,Active
MAR,Active
MAS,Active
MCD,Active
MCHP,Active
MCK,Active
MCO,Active
MDLZ,Active
MDT,Active
MET,Active
META,Active
MGM,Active
MHK,Active
MKC,Active
MKTX,Active
MLM,Active
MMC,Active
MMM,Active
MNST,Active
MO,Active
MOH,Active
MOS,Active
MPC,Active
MPWR,Active
MRK,Active
MRNA,Active
MRO,Active
MS,Active
MSCI,Active
MSFT,Active
MSI,Active
MTB,Active
MTCH,Active
MTD,Active
MU,Active
NCLH,Active
NDAQ,Active
NDSN,Active
NEE,Active
NEM,Active
NFLX,Active
NI,Active
NKE,Active
NOC,Active
NOW,Active
NRG,Active
NSC,Active
NTAP,Active
NTRS,Active
NUE,Active
NVDA,Active
NVR,Active
NWS,Active
NWSA,Active
NXPI,Active
O,Active
ODFL,Active
OKE,Active
OMC,Active
ON,Active
ORCL,Active
ORLY,Active
OTIS,Active
OXY,Active
PANW,Active
PARA,Active
PAYC,Active
PAYX,Active
PCAR,Active
PCG,Active
PEAK,Active
PEG,Active
PEP,Active
PFE,Active
PFG,Active
PG,Active
PGR,Active
PH,Active
PHM,Active
PKG,Active
PLD,Active
PM,Active
PNC,Active
PNR,Active
PNW,Active
PODD,Active
POOL,Active
PPG,Active
PPL,Active
PRU,Active
PSA,Active
PSX,Active
PTC,Active
PWR,Active
PXD,Active
PYPL,Active
QCOM,Active
QRVO,Active
RCL,Active
REG,Active
REGN,Active
RF,Active
RHI,Active
RJF,Active
RL,Active
RMD,Active
ROK,Active
ROL,Active
ROP,Active
ROST,Active
RSG,Active
RTX,Active
RVTY,Active
SBAC,Active
SBUX,Active
SCHW,Active
SEDG,Active
SEE,Active
SHW,Active
SJM,Active
SLB,Active
SNA,Active
SNPS,Active
SO,Active
SPG,Active
SPGI,Active
SRE,Active
STE,Active
STLD,Active
STT,Active
STX,Active
STZ,Active
SWK,Active
SWKS,Active
SYF,Active
SYK,Active
SYY,Active
T,Active
TAP,Active
TDG,Active
TDY,Active
TECH,Active
TEL,Active
TER,Active
TFC,Active
TFX,Active
TGT,Active
TJX,Active
TMO,Active
TMUS,Active
TPR,Active
TRGP,Active
TRMB,Active
TROW,Active
TRV,Active
TSCO,Active
TSLA,Active
TSN,Active
TT,Active
TTWO,Active
TXN,Active
TXT,Active
TYL,Active
UAL,Active
UDR,Active
UHS,Active
ULTA,Active
UNH,Active
UNP,Active
UPS,Active
URI,Active
USB,Active
V,Active
VFC,Active
VICI,Active
VLO,Active
VLTO,Active
VMC,Active
VRSK,Active
VRSN,Active
VRTX,Active
VTR,Active
VTRS,Active
VZ,Active
WAB,Active
WAT,Active
WBA,Active
WBD,Active
WDC,Active
WEC,Active
WELL,Active
WFC,Active
WHR,Active
WM,Active
WMB,Active
WMT,Active
WRB,Active
WRK,Active
WST,Active
WTW,Active
WY,Active
WYNN,Active
XEL,Active
XOM,Active
XRAY,Active
XYL,Active
YUM,Active
ZBH,Active
ZBRA,Active
ZION,Active
ZTS,Active
